DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Ireland,2017,1.77,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Ireland,2018,1.75,e,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Ireland,2019,1.71,e,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Ireland,2020,1.63,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Ireland,2021,1.78,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Ireland,2022,1.54,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Ireland,2023,1.50,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Iceland,2012,2.04,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Iceland,2013,1.93,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Iceland,2014,1.93,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Iceland,2015,1.80,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Iceland,2016,1.74,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Iceland,2017,1.71,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Iceland,2018,1.71,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Iceland,2019,1.74,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Iceland,2020,1.72,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Iceland,2021,1.82,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Iceland,2022,1.59,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Iceland,2023,1.55,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Italy,2012,1.42,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Italy,2013,1.39,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Italy,2014,1.38,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Italy,2015,1.36,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Italy,2016,1.36,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Italy,2017,1.34,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Italy,2018,1.31,b,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Italy,2019,1.27,b,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Italy,2020,1.24,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Italy,2021,1.25,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Italy,2022,1.24,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Italy,2023,1.21,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Liechtenstein,2012,1.51,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Liechtenstein,2013,1.45,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Liechtenstein,2014,1.59,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Liechtenstein,2015,1.40,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Liechtenstein,2016,1.61,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Liechtenstein,2017,1.44,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Liechtenstein,2018,1.58,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Liechtenstein,2019,1.48,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Liechtenstein,2020,1.46,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Liechtenstein,2021,1.53,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Liechtenstein,2022,1.47,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Liechtenstein,2023,1.45,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Lithuania,2012,1.60,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Lithuania,2013,1.59,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Lithuania,2014,1.57,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Lithuania,2015,1.63,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Lithuania,2016,1.63,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Lithuania,2017,1.57,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Lithuania,2018,1.53,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Lithuania,2019,1.43,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Lithuania,2020,1.36,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Lithuania,2021,1.36,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Lithuania,2022,1.27,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Lithuania,2023,1.18,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Luxembourg,2012,1.57,b,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Luxembourg,2013,1.55,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Luxembourg,2014,1.50,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Luxembourg,2015,1.47,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Luxembourg,2016,1.41,,
ESTAT:TPS00199(1.0),21/03/25 11:00:00,Annual,Total fertility rate,Luxembourg,2017,1.39,b,
