STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,age,Age class,sex,Sex,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AT,Austria,1997,,5341496,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AT,Austria,1998,,5352997,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AT,Austria,1999,,5369748,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AT,Austria,2000,,5396769,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AT,Austria,2001,,5423750,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AT,Austria,2002,,5468650,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AT,Austria,2003,,5510504,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AT,Austria,2004,,5551836,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AT,Austria,2005,,5570381.0,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AT,Austria,2006,,5584114.0,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AT,Austria,2007,,5589077.0,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AT,Austria,2008,,5606753.0,,,,,
dataflow,ESTAT:DEMO_PJANBROAD(1.0),Population on 1 January by broad age group and sex,A,Annual,NR,Number,Y15-64,From 15 to 64 years,T,Total,AT,Austria,2009,,5624765.0,,,,,
