geo,In thousand persons,year,Sex,Sector,workers_per_population
Austria,7.4,2024,Females,"Electricity, gas, steam and air conditioning supply",0.08079705199945408
Austria,6.5,2024,Females,"Water supply; sewerage, waste management and remediation activities",0.07097038351303399
Austria,43.8,2024,Females,Construction,0.4782311996724443
Austria,331.6,2024,Females,Wholesale and retail trade; repair of motor vehicles and motorcycles,3.6205814112187795
Austria,49.3,2024,Females,Transportation and storage,0.5382830626450116
Austria,130.3,2024,Females,Accommodation and food service activities,1.4226832264228197
Austria,48.9,2024,Females,Information and communication,0.5339156544288249
Austria,75.2,2024,Females,Financial and insurance activities,0.8210727446431008
Austria,21.9,2024,Females,Real estate activities,0.23911559983622216
Austria,147.7,2024,Females,"Professional, scientific and technical activities",1.6126654838269412
Austria,94.2,2024,Females,Administrative and support service activities,1.0285246349119694
Austria,156.1,2024,Females,Public administration and defence; compulsory social security,1.7043810563668622
Austria,227.7,2024,Females,Education,2.4861471270642825
Austria,381.6,2024,Females,Human health and social work activities,4.166507438242118
Austria,36.8,2024,Females,"Arts, entertainment and recreation",0.40180155588917704
Austria,80.3,2024,Females,Other service activities,0.8767571993994814
Austria,4.7,2024,Females,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,0.0513170465401938
Austria,4.3,2024,Females,Activities of extraterritorial organisations and bodies,0.0469496383240071
Austria,95.6,2008,Males,"Agriculture, forestry and fishing",1.1506996458469072
Austria,8.1,2008,Males,Mining and quarrying,0.09749651811045972
Austria,464.9,2008,Males,Manufacturing,5.595818675253422
Austria,18.3,2008,Males,"Electricity, gas, steam and air conditioning supply",0.22026991128659418
Austria,15.2,2008,Males,"Water supply; sewerage, waste management and remediation activities",0.18295642904678858
Austria,311.9,2008,Males,Construction,3.754217777611405
Austria,295.5,2008,Males,Wholesale and retail trade; repair of motor vehicles and motorcycles,3.5568174199556593
Austria,154.1,2008,Males,Transportation and storage,1.8548411655335606
Austria,84.9,2008,Males,Accommodation and food service activities,1.0219079490837073
Austria,62.8,2008,Males,Information and communication,0.755898930535416
Austria,69.2,2008,Males,Financial and insurance activities,0.8329332164498533
Austria,12.6,2008,Males,Real estate activities,0.15166125039404843
Austria,110.6,2008,Males,"Professional, scientific and technical activities",1.3312487534588695
Austria,52.4,2008,Males,Administrative and support service activities,0.6307182159244554
Austria,151.7,2008,Males,Public administration and defence; compulsory social security,1.8259533083156465
Austria,67.7,2008,Males,Education,0.8148783056886569
Austria,77.6,2008,Males,Human health and social work activities,0.9340407167125522
Austria,39.6,2008,Males,"Arts, entertainment and recreation",0.47664964409558075
Austria,26.1,2008,Males,Other service activities,0.3141554472448146
Austria,96.3,2009,Males,"Agriculture, forestry and fishing",1.1553685103652633
Austria,8.2,2009,Males,Mining and quarrying,0.09838028852539105
Austria,436.9,2009,Males,Manufacturing,5.241749763017482
Austria,20.7,2009,Males,"Electricity, gas, steam and air conditioning supply",0.24835024054580424
Austria,15.4,2009,Males,"Water supply; sewerage, waste management and remediation activities",0.18476298088914905
Austria,296.7,2009,Males,Construction,3.5596867811565276
Austria,284.5,2009,Males,Wholesale and retail trade; repair of motor vehicles and motorcycles,3.4133161079846044
Austria,149.7,2009,Males,Transportation and storage,1.7960401453964683
