geo,year,EU,Ukraine,national,non_EU,foreigners,foreigners_pop_share,non_EU_pop_share,ukraine_pop_share,ukraine_for_share,non_EU_for_share,iso_a3
Slovakia,2010,3421.0,107.0,1111.0,4910.0,8331.0,0.15455225112746526,0.0910876909177595,0.0019850067063544334,1.2843596206937944,58.936502220621776,SVK
Slovakia,2011,3016.0,105.0,1078.0,4501.0,7517.0,0.13939870700605997,0.08346861517018436,0.0019471683165672871,1.396833843288546,59.877610748969005,SVK
Slovakia,2012,2368.0,92.0,2479.0,3523.0,5891.0,0.10900534794188799,0.06518856574423211,0.0017023412002467654,1.5617042946868105,59.803089458496004,SVK
Slovakia,2013,1920.0,77.0,2674.0,3041.0,4961.0,0.09168638635508451,0.0562020360624495,0.001423070298194216,1.5521064301552108,61.298125377948,SVK
Slovakia,2014,1912.0,94.0,2939.0,2931.0,4843.0,0.08942107837426091,0.054117939441453385,0.0017356145709643868,1.9409456948172619,60.52033863307867,SVK
Slovakia,2015,3006.0,192.0,3223.0,4560.0,7566.0,0.1395593605945679,0.08411190646460871,0.0035415539564045777,2.53766851704996,60.26962727993656,SVK
Slovakia,2016,2859.0,154.0,4076.0,4372.0,7231.0,0.13325956848299708,0.08057126723933943,0.0028380547014771893,2.1297192642787994,60.46190015212281,SVK
Slovakia,2017,2223.0,202.0,4277.0,3616.0,5839.0,0.10742652303635668,0.06652754021227364,0.0037164167928316577,3.4594964891248505,61.92841239938346,SVK
Slovakia,2018,2090.0,237.0,4384.0,3654.0,5744.0,0.10552771204750218,0.06713061626420141,0.00435412043092932,4.126044568245126,63.61420612813371,SVK
Slovakia,2019,1714.0,283.0,4530.0,3258.0,4972.0,0.09122231108385939,0.05977519901673651,0.005192259460324257,5.691874497184232,65.52695092518101,SVK
Slovakia,2020,2088.0,309.0,3941.0,3586.0,5674.0,0.10395991258865864,0.06570325106502112,0.0056615461737567,5.445893549524145,63.20056397603102,SVK
Slovakia,2021,1526.0,208.0,3731.0,2478.0,4004.0,0.07333627484325837,0.045386435829568986,0.003809676615234201,5.194805194805195,61.88811188811189,SVK
Slovakia,2022,1215.0,178.0,3681.0,2349.0,3564.0,0.06557845199524832,0.04322216154232276,0.0032752425519512345,4.994388327721661,65.9090909090909,SVK
Slovakia,2023,934.0,457.0,3783.0,3357.0,4291.0,0.07904152526013153,0.06183696115084166,0.008418079012789586,10.650198089023538,78.23351200186437,SVK
Slovenia,1998,887.0,120.0,857.0,9834.0,10721.0,,,,1.1192985728943194,91.72651804868948,SVN
Slovenia,1999,537.0,121.0,1362.0,10983.0,11520.0,,,,1.0503472222222223,95.33854166666667,SVN
Slovenia,2000,1158.0,192.0,935.0,14382.0,15540.0,,,,1.2355212355212355,92.54826254826256,SVN
Slovenia,2001,1618.0,231.0,1030.0,17914.0,19532.0,,,,1.1826745852959246,91.71615809952898,SVN
Slovenia,2002,1872.0,269.0,1432.0,13493.0,15365.0,,,,1.7507321835340057,87.81646599414253,SVN
Slovenia,2003,1881.0,247.0,1268.0,14082.0,15963.0,0.8001371405886519,0.705852985890459,0.012380747586631399,1.5473281964543006,88.21650065777109,SVN
Slovenia,2004,1194.0,341.0,1574.0,16009.0,17203.0,0.8616868184406891,0.8018801532533273,0.01708046300577079,1.9822124048131142,93.05935011335232,SVN
Slovenia,2005,2898.0,372.0,1747.0,23699.0,26597.0,1.3314544025550787,1.1863795874028205,0.0186224400402485,1.3986539835319773,89.10403428958153,SVN
Slovenia,2006,2808.0,357.0,1765.0,33691.0,36499.0,1.8218910449355534,1.68172638140562,0.017820080085536386,0.9781089892873778,92.30663853804214,SVN
Slovenia,2007,3900.0,471.0,1689.0,51088.0,54988.0,2.7352083713651716,2.5412149064578435,0.023428441531115805,0.8565505201134794,92.90754346402852,SVN
Slovenia,2008,3533.0,440.0,2631.0,52515.0,56048.0,2.7880845797254,2.612336955899932,0.02188761802524936,0.7850413930916357,93.69647445047103,SVN
Slovenia,2009,3206.0,354.0,2903.0,51681.0,54887.0,2.7006507698923716,2.5429032819940542,0.01741815680474246,0.6449614662852771,94.15890830251243,SVN
Slovenia,2010,2837.0,261.0,2711.0,22581.0,25418.0,1.241734148324162,1.1031394603551776,0.012750515882941472,1.0268313793374773,88.8386183019907,SVN
Slovenia,2011,2858.0,203.0,3318.0,18740.0,21598.0,1.0534638513815067,0.9140620693994553,0.00990152615197916,0.9399018427632189,86.76729326789517,SVN
Slovenia,2012,3189.0,223.0,2741.0,21436.0,24625.0,1.1980076828171886,1.0428626472637261,0.010848962975359719,0.9055837563451777,87.0497461928934,SVN
Slovenia,2013,3217.0,182.0,2250.0,20082.0,23299.0,1.1316671046195856,0.975412626935513,0.00884001086058477,0.7811494055538865,86.19254045237993,SVN
