geo,quarter,Country of citizenship,Sex,unemployment_rate,employment_rate
Estonia,2007-Q2,Foreign country,Total,0.0,70.62146892655366
Estonia,2007-Q2,Reporting country,Females,3.686131386861314,66.82704482147379
Estonia,2007-Q2,Reporting country,Males,5.190188410949164,73.14128943758574
Estonia,2007-Q2,Reporting country,Total,4.466054385017109,69.86698274726723
Estonia,2007-Q2,Total,Females,4.374614910659273,66.7598365942808
Estonia,2007-Q2,Total,Males,5.813953488372093,73.502722323049
Estonia,2007-Q2,Total,Total,5.115166018546216,70.02980461419583
Estonia,2007-Q3,Foreign country,Females,0.0,66.66666666666666
Estonia,2007-Q3,Foreign country,Males,0.0,70.3125
Estonia,2007-Q3,Foreign country,Total,0.0,68.64406779661016
Estonia,2007-Q3,Reporting country,Females,2.9839883551673942,67.20443660196624
Estonia,2007-Q3,Reporting country,Males,4.17120058034095,73.63433667781494
Estonia,2007-Q3,Reporting country,Total,3.5603996366939152,70.27134348113832
Estonia,2007-Q3,Total,Females,3.6122259956776785,67.00300558179477
Estonia,2007-Q3,Total,Males,4.825581395348837,74.27404718693285
Estonia,2007-Q3,Total,Total,4.237161251684384,70.54930509596295
Estonia,2007-Q4,Foreign country,Females,0.0,53.47222222222222
Estonia,2007-Q4,Foreign country,Males,0.0,80.57142857142857
Estonia,2007-Q4,Foreign country,Total,0.0,68.18181818181819
Estonia,2007-Q4,Reporting country,Females,2.6422018348623855,67.04574172352793
Estonia,2007-Q4,Reporting country,Males,4.338235294117648,72.10978652619907
Estonia,2007-Q4,Reporting country,Total,3.489439853076217,69.47382337387626
Estonia,2007-Q4,Total,Females,3.840100723953415,65.54387470499893
Estonia,2007-Q4,Total,Males,4.666862342236572,73.68421052631578
Estonia,2007-Q4,Total,Total,4.267922235722965,69.50049619583196
Estonia,2008-Q1,Foreign country,Females,11.422413793103448,61.06983655274889
Estonia,2008-Q1,Foreign country,Males,0.0,81.53098420413122
Estonia,2008-Q1,Foreign country,Total,7.28363324764353,72.32620320855615
Estonia,2008-Q1,Reporting country,Females,3.5780154924382144,66.04345629105607
Estonia,2008-Q1,Reporting country,Males,3.371619118191923,72.95104895104896
Estonia,2008-Q1,Reporting country,Total,3.4750462107208877,69.33492632417362
Estonia,2008-Q1,Total,Females,4.724409448818897,65.32066508313538
Estonia,2008-Q1,Total,Males,3.6155202821869494,74.55661664392905
Estonia,2008-Q1,Total,Total,4.150828645279002,69.8305460183852
Estonia,2008-Q2,Foreign country,Females,0.0,66.44844517184943
Estonia,2008-Q2,Foreign country,Males,7.879656160458453,77.65700483091787
Estonia,2008-Q2,Foreign country,Total,8.06310254163015,72.89784572619875
Estonia,2008-Q2,Reporting country,Females,2.9059208136578274,66.36882601141723
Estonia,2008-Q2,Reporting country,Males,3.6336670374490176,72.9365524985963
Estonia,2008-Q2,Reporting country,Total,3.2660550458715596,69.45066526149388
Estonia,2008-Q2,Total,Females,3.6596809508914605,66.35775862068965
Estonia,2008-Q2,Total,Males,4.507955215085445,73.82687927107062
Estonia,2008-Q2,Total,Total,4.096495220755576,70.0
Estonia,2008-Q3,Foreign country,Females,0.0,65.6387665198238
Estonia,2008-Q3,Foreign country,Males,11.158798283261802,73.2311320754717
Estonia,2008-Q3,Foreign country,Total,10.477787091366304,69.89528795811518
Estonia,2008-Q3,Reporting country,Females,4.699646643109541,68.12326345036625
Estonia,2008-Q3,Reporting country,Males,6.1173083843109035,73.7005649717514
Estonia,2008-Q3,Reporting country,Total,5.41986093777857,70.73333333333333
Estonia,2008-Q3,Total,Females,5.415162454873647,67.75862068965517
Estonia,2008-Q3,Total,Males,7.130534790109258,73.6098450319052
Estonia,2008-Q3,Total,Total,6.292266980299911,70.60256978289765
Estonia,2008-Q4,Foreign country,Females,13.214285714285715,67.78242677824268
Estonia,2008-Q4,Foreign country,Males,15.232722143864596,72.14885954381754
Estonia,2008-Q4,Foreign country,Total,14.342001576044128,70.19354838709677
Estonia,2008-Q4,Reporting country,Females,5.753326141675656,66.89637570188872
Estonia,2008-Q4,Reporting country,Males,6.550850524791893,73.06168647425014
Estonia,2008-Q4,Reporting country,Total,6.149684400360686,69.8201825013419
Estonia,2008-Q4,Total,Females,7.003891050583657,67.04790677600346
Estonia,2008-Q4,Total,Males,8.321336020731355,72.87087912087912
Estonia,2008-Q4,Total,Total,7.675374229527443,69.8844701177516
Estonia,2009-Q1,Foreign country,Females,15.873015873015872,62.481536189069416
Estonia,2009-Q1,Foreign country,Males,19.12568306010929,66.59167604049495
Estonia,2009-Q1,Foreign country,Total,17.813765182186234,64.81481481481481
Estonia,2009-Q1,Reporting country,Females,7.675675675675676,65.09146341463415
Estonia,2009-Q1,Reporting country,Males,12.504751045229948,66.32094497263036
Estonia,2009-Q1,Reporting country,Total,10.025897151313355,65.65874730021598
Estonia,2009-Q1,Total,Females,8.935651113144253,64.71608149111401
Estonia,2009-Q1,Total,Males,13.945881653285754,66.35321100917432
Estonia,2009-Q1,Total,Total,11.474175575967475,65.51147760196122
Estonia,2009-Q2,Foreign country,Females,18.055555555555554,64.28571428571428
Estonia,2009-Q2,Foreign country,Males,24.000000000000004,63.062098501070665
Estonia,2009-Q2,Foreign country,Total,21.640625,63.5614702154626
Estonia,2009-Q2,Reporting country,Females,7.953301714702662,63.535633341727525
Estonia,2009-Q2,Reporting country,Males,14.744079449961802,64.90258796161676
Estonia,2009-Q2,Reporting country,Total,11.270759470050383,64.17004048582996
Estonia,2009-Q2,Total,Females,9.519408502772642,63.64030335861322
Estonia,2009-Q2,Total,Males,16.85823754789272,64.50949005259548
Estonia,2009-Q2,Total,Total,13.270070793794245,64.06319537160658
Estonia,2009-Q3,Foreign country,Females,19.960861056751465,59.79532163742689
Estonia,2009-Q3,Foreign country,Males,31.048951048951047,56.731875719217484
Estonia,2009-Q3,Foreign country,Total,26.42740619902121,58.11855670103093
Estonia,2009-Q3,Reporting country,Females,10.495626822157437,62.49363867684479
Estonia,2009-Q3,Reporting country,Males,13.820549927641101,67.53614970229657
Estonia,2009-Q3,Reporting country,Total,12.164124909222949,64.8786375217916
Estonia,2009-Q3,Total,Females,11.981566820276496,62.093628088426534
Estonia,2009-Q3,Total,Males,17.361310721471686,65.41524459613197
Estonia,2009-Q3,Total,Total,14.760914760914762,63.70699223085461
Estonia,2009-Q4,Foreign country,Females,17.241379310344826,60.00000000000001
Estonia,2009-Q4,Foreign country,Males,30.343796711509714,58.69017632241813
Estonia,2009-Q4,Foreign country,Total,24.601175482787575,59.33993399339934
Estonia,2009-Q4,Reporting country,Females,10.106188209447089,62.981015905592606
Estonia,2009-Q4,Reporting country,Males,17.97919762258544,61.65875453783859
Estonia,2009-Q4,Reporting country,Total,13.995943204868155,62.34790747426126
Estonia,2009-Q4,Total,Females,11.220411927451583,62.53789519272412
Estonia,2009-Q4,Total,Males,20.440345135376376,61.10603290676416
Estonia,2009-Q4,Total,Total,15.905654671908076,61.84122748499
Estonia,2010-Q1,Foreign country,Females,30.467289719626166,51.67130919220057
Estonia,2010-Q1,Foreign country,Males,38.80171184022825,52.44498777506112
Estonia,2010-Q1,Foreign country,Total,35.19417475728155,52.083333333333336
Estonia,2010-Q1,Reporting country,Females,11.477190441708906,63.10353730957914
Estonia,2010-Q1,Reporting country,Males,22.17160212604404,57.83981951494641
Estonia,2010-Q1,Reporting country,Total,16.697553743513712,60.57951482479784
Estonia,2010-Q1,Total,Females,14.589020321504398,61.33739925942061
Estonia,2010-Q1,Total,Males,25.667166416791602,56.82859761686526
Estonia,2010-Q1,Total,Total,20.159831121833534,59.12897822445561
Estonia,2010-Q2,Foreign country,Females,31.115459882583167,53.987730061349694
Estonia,2010-Q2,Foreign country,Males,33.48694316436253,54.465408805031444
Estonia,2010-Q2,Foreign country,Total,32.44406196213425,54.28769017980637
Estonia,2010-Q2,Reporting country,Females,12.021660649819493,61.85279187817259
Estonia,2010-Q2,Reporting country,Males,20.255543028936486,59.634831460674164
Estonia,2010-Q2,Reporting country,Total,16.05301914580265,60.808107747699694
Estonia,2010-Q2,Total,Females,14.990859232175504,60.74929209322587
Estonia,2010-Q2,Total,Males,22.82608695652174,58.70463941203491
Estonia,2010-Q2,Total,Total,18.94146193509251,59.75405254332029
Estonia,2010-Q3,Foreign country,Females,27.686703096539162,56.39204545454546
Estonia,2010-Q3,Foreign country,Males,29.141104294478527,59.974093264248694
Estonia,2010-Q3,Foreign country,Total,28.452579034941767,58.30508474576271
Estonia,2010-Q3,Reporting country,Females,12.68491124260355,60.7253086419753
Estonia,2010-Q3,Reporting country,Males,12.841328413284131,65.57468073292615
Estonia,2010-Q3,Reporting country,Total,12.763206501662355,63.065829883829615
Estonia,2010-Q3,Total,Females,15.212046711739399,60.074057939446746
Estonia,2010-Q3,Total,Males,16.00237953599048,64.60096043905786
Estonia,2010-Q3,Total,Total,15.6136638452237,62.27551589514779
Estonia,2010-Q4,Foreign country,Females,22.115384615384613,54.655870445344135
Estonia,2010-Q4,Foreign country,Males,22.20447284345048,66.43929058663029
Estonia,2010-Q4,Foreign country,Total,22.164048865619545,60.51560379918589
Estonia,2010-Q4,Reporting country,Females,11.391465677179962,62.226277372262764
Estonia,2010-Q4,Reporting country,Males,12.639539070939865,66.71251719394773
Estonia,2010-Q4,Reporting country,Total,12.045329921403766,64.41381156316916
Estonia,2010-Q4,Total,Females,13.130056004978222,61.00065545116888
Estonia,2010-Q4,Total,Males,14.42844548927417,66.65140764476996
Estonia,2010-Q4,Total,Total,13.797793562037175,63.760339816677835
Estonia,2011-Q1,Foreign country,Females,21.10091743119266,56.280587275693314
Estonia,2011-Q1,Foreign country,Males,26.447574334898277,64.5205479452055
Estonia,2011-Q1,Foreign country,Total,24.25650557620818,60.68503350707372
Estonia,2011-Q1,Reporting country,Females,12.409288824383163,61.34688691232528
Estonia,2011-Q1,Reporting country,Males,13.181654026724452,66.4364640883978
Estonia,2011-Q1,Reporting country,Total,12.794064422728917,63.78557246856387
Estonia,2011-Q1,Total,Females,13.592233009708737,60.67736969430393
Estonia,2011-Q1,Total,Males,15.66441771780581,66.07676396230751
Estonia,2011-Q1,Total,Total,14.64707664344138,63.317599460552934
Estonia,2011-Q2,Foreign country,Females,22.564102564102566,55.29197080291971
Estonia,2011-Q2,Foreign country,Males,26.94136291600634,63.15068493150685
Estonia,2011-Q2,Foreign country,Total,25.244618395303327,59.65598123534011
Estonia,2011-Q2,Reporting country,Females,11.29648939867918,63.656772262409575
Estonia,2011-Q2,Reporting country,Males,11.176040905770636,67.16376691521678
Estonia,2011-Q2,Reporting country,Total,11.219946571682991,65.32110091743118
Estonia,2011-Q2,Total,Females,12.641567187021732,62.65086679833224
Estonia,2011-Q2,Total,Males,14.12882160878599,66.49046196276717
Estonia,2011-Q2,Total,Total,13.39662447257384,64.52626852267625
Estonia,2011-Q3,Foreign country,Females,21.45922746781116,55.72519083969466
Estonia,2011-Q3,Foreign country,Males,17.89137380191693,71.58774373259052
Estonia,2011-Q3,Foreign country,Total,19.505494505494507,64.0203932993445
Estonia,2011-Q3,Reporting country,Females,9.51048951048951,66.3249615581753
Estonia,2011-Q3,Reporting country,Males,9.16577157178661,69.8128783709411
Estonia,2011-Q3,Reporting country,Total,9.33852140077821,68.00690021231422
Estonia,2011-Q3,Total,Females,11.21467227901383,64.80140443274084
Estonia,2011-Q3,Total,Males,10.763381105586427,70.12181107791312
Estonia,2011-Q3,Total,Total,10.984286984879928,67.40374901784712
Estonia,2011-Q4,Foreign country,Females,18.446601941747574,59.91440798858774
Estonia,2011-Q4,Foreign country,Males,18.703976435935196,69.4829760403531
Estonia,2011-Q4,Foreign country,Total,18.608549874266554,64.99330655957162
Estonia,2011-Q4,Reporting country,Females,8.615611192930778,64.45830085736554
Estonia,2011-Q4,Reporting country,Males,11.11518708730741,68.11023622047243
Estonia,2011-Q4,Reporting country,Total,9.869509281382099,66.2255232950709
Estonia,2011-Q4,Total,Females,10.185758513931887,63.772257639041555
Estonia,2011-Q4,Total,Males,12.661574618096358,68.36781609195401
Estonia,2011-Q4,Total,Total,11.44106119987941,66.01865378132375
Estonia,2012-Q1,Foreign country,Females,19.616204690831555,60.28708133971291
Estonia,2012-Q1,Foreign country,Males,18.466353677621285,68.6429512516469
Estonia,2012-Q1,Foreign country,Total,18.935978358881876,64.86291486291486
Estonia,2012-Q1,Reporting country,Females,8.747731397459166,64.98708010335918
Estonia,2012-Q1,Reporting country,Males,11.688790560471976,67.54089114495206
Estonia,2012-Q1,Reporting country,Total,10.206694713736967,66.2081984897519
Estonia,2012-Q1,Total,Females,10.294573643410853,64.30953969312874
Estonia,2012-Q1,Total,Males,12.98119964189794,67.73519163763066
Estonia,2012-Q1,Total,Total,11.663625304136254,65.99636446262213
Estonia,2012-Q2,Foreign country,Females,22.807017543859647,52.46179966044142
Estonia,2012-Q2,Foreign country,Males,17.83876500857633,69.21965317919074
Estonia,2012-Q2,Foreign country,Total,19.837232960325537,61.514441842310696
Estonia,2012-Q2,Reporting country,Females,6.948853615520282,67.41630462560695
Estonia,2012-Q2,Reporting country,Males,10.455861070911721,68.73090808108859
Estonia,2012-Q2,Reporting country,Total,8.680121450258975,68.04631354804366
Estonia,2012-Q2,Total,Females,8.902627511591964,65.45979564637938
Estonia,2012-Q2,Total,Males,11.741858380639378,68.80969019333799
Estonia,2012-Q2,Total,Total,10.346399270738376,67.10256993404595
Estonia,2012-Q3,Foreign country,Females,18.1592039800995,54.11184210526315
Estonia,2012-Q3,Foreign country,Males,17.86283891547049,70.3551912568306
Estonia,2012-Q3,Foreign country,Total,17.978620019436345,62.985074626865675
Estonia,2012-Q3,Reporting country,Females,8.474576271186441,66.62384378211716
Estonia,2012-Q3,Reporting country,Males,7.852276801721048,71.96863623634836
Estonia,2012-Q3,Reporting country,Total,8.165806795943782,69.16789494841218
Estonia,2012-Q3,Total,Females,9.675425038639876,64.93333333333334
Estonia,2012-Q3,Total,Males,9.692532942898975,71.67092726005112
Estonia,2012-Q3,Total,Total,9.684210526315791,68.22674088378963
Estonia,2012-Q4,Foreign country,Females,17.344753747323338,55.316091954022994
Estonia,2012-Q4,Foreign country,Males,15.977175463623395,70.79326923076923
Estonia,2012-Q4,Foreign country,Total,16.60958904109589,63.85068762278979
Estonia,2012-Q4,Reporting country,Females,6.810569408262003,65.77357499343314
Estonia,2012-Q4,Reporting country,Males,8.632286995515695,70.35971223021583
Estonia,2012-Q4,Reporting country,Total,7.718120805369128,67.96209832463607
Estonia,2012-Q4,Total,Females,8.402029169308815,64.19369169258108
Estonia,2012-Q4,Total,Males,10.156944033165532,70.44346412816344
Estonia,2012-Q4,Total,Total,9.30802204531537,67.24940401861733
Estonia,2013-Q1,Foreign country,Females,16.812227074235807,57.12143928035982
Estonia,2013-Q1,Foreign country,Males,16.56050955414013,68.85676741130092
Estonia,2013-Q1,Foreign country,Total,16.666666666666668,63.37535014005602
Estonia,2013-Q1,Reporting country,Females,8.168498168498168,66.40190627482129
